date,time,open,high,low,close,volume
="2019-12-16",08.30.00,138.3823,138.6299,138.1295,138.3223,234292
="2019-12-16",08.31.00,138.3100,138.5100,138.2900,138.4900,30616
="2019-12-16",08.32.00,138.5000,138.5500,138.4300,138.5400,35577
="2019-12-16",08.33.00,138.5500,138.7100,138.5500,138.6500,44822
="2019-12-16",08.34.00,138.6500,138.6800,138.5700,138.5700,31113
="2019-12-16",08.35.00,138.5800,138.5900,138.4700,138.4900,36324
="2019-12-16",08.36.00,138.5000,138.5000,138.3670,138.3900,26108
="2019-12-16",08.37.00,138.3620,138.4250,138.3100,138.3100,27529
="2019-12-16",08.38.00,138.3100,138.3200,138.1400,138.1500,35760
="2019-12-16",08.39.00,138.1500,138.2300,138.1500,138.2300,24673
="2019-12-16",08.40.00,138.2300,138.3650,138.2200,138.3650,20819
="2019-12-16",08.41.00,138.3500,138.3700,138.3200,138.3450,24299
="2019-12-16",08.42.00,138.3500,138.3900,138.3500,138.3600,31993
="2019-12-16",08.43.00,138.3569,138.3800,138.3400,138.3800,22891
="2019-12-16",08.44.00,138.3800,138.3850,138.2500,138.2900,46075
="2019-12-16",08.45.00,138.2900,138.3950,138.2700,138.3600,27352
="2019-12-16",08.46.00,138.3600,138.4400,138.3225,138.4050,28635
="2019-12-16",08.47.00,138.4065,138.5100,138.3700,138.5000,28321
="2019-12-16",08.48.00,138.5100,138.5200,138.3800,138.4050,25389
="2019-12-16",08.49.00,138.4050,138.4250,138.3100,138.3200,23333
="2019-12-16",08.50.00,138.3200,138.3400,138.2000,138.2500,44443
="2019-12-16",08.51.00,138.2500,138.2700,138.2269,138.2450,15577
="2019-12-16",08.52.00,138.2450,138.2980,138.2200,138.2950,28467
="2019-12-16",08.53.00,138.3035,138.3600,138.3000,138.3500,8800
="2019-12-16",08.54.00,138.3650,138.3700,138.3100,138.3300,32705
="2019-12-16",08.55.00,138.3200,138.3500,138.3100,138.3294,30257
="2019-12-16",08.56.00,138.3350,138.3350,138.3000,138.3100,31068
="2019-12-16",08.57.00,138.3100,138.3400,138.2900,138.3400,28999
="2019-12-16",08.58.00,138.3400,138.3700,138.3300,138.3400,28621
="2019-12-16",08.59.00,138.3400,138.3800,138.3300,138.3700,35055
="2019-12-16",09.00.00,138.3800,138.4600,138.3250,138.3762,59601
="2019-12-16",09.01.00,138.3800,138.4200,138.3500,138.4133,17132
="2019-12-16",09.02.00,138.4200,138.5300,138.4197,138.4700,32341
="2019-12-16",09.03.00,138.4700,138.4700,138.3850,138.3850,22470
="2019-12-16",09.04.00,138.3800,138.4400,138.3550,138.4150,28134
